age,work class,education,education num,marital status,occupation,relationship,race,sex,hours per week,native country (region),label
68, ?, 1st-4th,2, Divorced, ?, Not-in-family, White, Female,20, United-States, <=50K
39, State-gov, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,40, United-States, <=50K
50, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,13, United-States, <=50K
38, Private, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,40, United-States, <=50K
53, Private, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,40, United-States, <=50K
28, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Black, Female,40, Cuba, <=50K
37, Private, Masters,14, Married-civ-spouse, Exec-managerial, Wife, White, Female,40, United-States, <=50K
49, Private, 9th,5, Married-spouse-absent, Other-service, Not-in-family, Black, Female,16, Jamaica, <=50K
52, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,45, United-States, >50K
31, Private, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,50, United-States, >50K
42, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, >50K
37, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,80, United-States, >50K
30, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,40, India, >50K
23, Private, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,30, United-States, <=50K
32, Private, Assoc-acdm,12, Never-married, Sales, Not-in-family, Black, Male,50, United-States, <=50K
40, Private, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,40, ?, >50K
34, Private, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,45, Mexico, <=50K
25, Self-emp-not-inc, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,35, United-States, <=50K
32, Private, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Male,40, United-States, <=50K
38, Private, 11th,7, Married-civ-spouse, Sales, Husband, White, Male,50, United-States, <=50K
43, Self-emp-not-inc, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,45, United-States, >50K
40, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,60, United-States, >50K
